id,name,type,type2,archetype,cost,atk,def,keywords,effect,flavortext,art,frames,version,version_date,version_note
pt26-01,"""Bird""",Creature,,General,1,1,1,,,Just a regular bird.,pt26-01.png,Creatures.png,0.4,2026-04-15,
pt26-02,Frogue Stalker,Creature,,General,1,1,1,,,,pt26-02.png,Creatures.png,0.4,2026-04-15,
pt26-03,#4,Creature,,General,2,2,1,,,Their name has been lost to time.,pt26-03.png,Creatures.png,0.4,2026-04-15,
pt26-04,Living PC,Creature,,General,2,1,2,,,"Yes, you were that bad.",pt26-04.png,Creatures.png,0.4,2026-04-15,
pt26-05,Chupacabra,Creature,,General,2,2,2,,,Drinker of goats.,pt26-05.png,Creatures.png,0.4,2026-04-15,
pt26-06,Redacted,Creature,,General,2,1,3,,REDACTED,,pt26-06.png,Creatures.png,0.4,2026-04-15,
pt26-07,Jovius,Creature,,General,3,3,1,,,"""If I didn't know better, I would say he was staring right at me.""",pt26-07.png,Creatures.png,0.4,2026-04-15,
pt26-08,Beast Guard,Creature,,General,3,1,3,,,"Took ""Guard Dog"" very literally.",pt26-08.png,Creatures.png,0.4,2026-04-15,
pt26-09,Atlas (Beastman),Creature,,General,3,3,2,,,Carrying the weight of his people on his back.,pt26-09.png,Creatures.png,0.4,2026-04-15,
pt26-10,Dir. Locke,Creature,,General,4,3,3,,,"""I just had an interview with him, but I couldn't even tell you what he looked like...""",pt26-10.png,Creatures.png,0.4,2026-04-15,
pt26-11,Ampulic Mass,Creature,,General,1,1,1,,"When destroyed, add +1 AP at your next Refresh. Does not trigger Sudden Death.",,pt26-11.png,Creatures.png,0.4,2026-04-15,
pt26-12,Mountain Howler,Creature,,General,1,1,1,,"When this creature attacks, it gains +1 ATK.",,pt26-12.png,Creatures.png,0.4,2026-04-15,
pt26-13,Blackened Dino,Creature,,General,2,2,1,,Piercing — damage is dealt even if blocked.,,pt26-13.png,Creatures.png,0.4,2026-04-15,
pt26-14,Shielded Scientist,Creature,,General,2,1,2,,"This creature may block twice per combat, but takes damage equal to the total ATK it absorbed.",,pt26-14.png,Creatures.png,0.4,2026-04-15,
pt26-15,Jester Twill,Creature,,General,2,1,1,,"When summoned, select a creature on the field and reduce its ATK or DEF by 1. (Min 1)",,pt26-15.png,Creatures.png,0.4,2026-04-15,
pt26-16,Unpaid Intern,Creature,,General,2,1,1,,"If a creature you control would be destroyed, you may send this card from the field to the discard pile in its place.",,pt26-16.png,Creatures.png,0.4,2026-04-15,
pt26-17,Living Bomb,Creature,,General,3,3,1,,Destroy this creature after it attacks.,,pt26-17.png,Creatures.png,0.4,2026-04-15,
pt26-18,Splodey,Creature,,General,3,1,3,,"If this creature attacks or is attacked, both creatures are destroyed.",,pt26-18.png,Creatures.png,0.4,2026-04-15,
pt26-19,Analog Dragon,Creature,,General,3,3,2,,"If your opponent controls a creature, you may summon this card for 1 AP less than its listed cost.",,pt26-19.png,Creatures.png,0.4,2026-04-15,
pt26-20,Asst. Keye,Creature,,General,5,3,3,,"When summoned, you may summon any number of creatures from your hand whose combined ATK or combined DEF totals 3 or less.",,pt26-20.png,Creatures.png,0.4,2026-04-15,
pt26-21,King's Greed,Magic,,General,1,,,,Draw 2 cards. (Playtest),,pt26-21.png,Magic.png,0.4,2026-04-15,
pt26-22,Tip the Scales,Magic,,General,1,,,,Double your current momentum. Reset your momentum to 0 at your End Phase.,,pt26-22.png,Magic.png,0.4,2026-04-15,
pt26-23,Enchanted Sword,Magic,,General,2,,,,Equip to a creature you control. It gains +1 ATK. You may spend additional AP on activation to increase the ATK bonus by that amount instead.,,pt26-23.png,Magic.png,0.4,2026-04-15,
pt26-24,Queen's Demand,Magic,,General,2,,,,One creature you choose may attack twice this combat. It cannot block until your next Refresh.,,pt26-24.png,Magic.png,0.4,2026-04-15,
pt26-25,Copy Conscious,Magic,,General,2,,,,Destroy a creature you control. Add its ATK or DEF to another creature on the field.,,pt26-25.png,Magic.png,0.4,2026-04-15,
pt26-26,Duo-Reverse,Magic,,General,2,,,,"When your opponent activates a Reaction, negate its activation and destroy the card.",,pt26-26.png,Magic.png,0.4,2026-04-15,
pt26-27,Invisible Sword,Magic,,General,3,,,,Equip to a creature you control. Its attacks now deal Piercing damage.,,pt26-27.png,Magic.png,0.4,2026-04-15,
pt26-28,Resuscitate,Magic,,General,3,,,,Target a creature from either player's discard pile and summon it to your field.,,pt26-28.png,Magic.png,0.4,2026-04-15,
pt26-29,Revocation,Magic,,General,4,,,,Send any number of creatures you control to the discard pile. Your opponent mills cards from the top of their deck equal to the combined AP cost of the discarded creatures.,,pt26-29.png,Magic.png,0.4,2026-04-15,
pt26-30,Freeze Wave,Magic,,General,4,,,,Your opponent cannot activate Reactions until the start of their next turn.,,pt26-30.png,Magic.png,0.4,2026-04-15,
pt26-31,Burn,Magic,,General,?,,,,"Spend any amount of AP. Deal that much damage to a target creature. If the damage equals or exceeds its DEF, it is destroyed.",,pt26-31.png,Magic.png,0.4,2026-04-15,
pt26-32,Downgrade,Reaction,,General,1,,,,"When you block an attacking creature, reduce its ATK by your remaining AP after this card's activation.",,pt26-32.png,Reactions.png,0.4,2026-04-15,
pt26-33,Fool's Fortune,Reaction,,General,1,,,,"When you take direct damage, add that amount as Temp AP to your next Refresh. Temp AP is spent first and vanishes at your End Phase.",,pt26-33.png,Reactions.png,0.4,2026-04-15,
pt26-34,Counterspell,Reaction,,General,2,,,,"When your opponent activates a Magic card, negate its activation and destroy it.",,pt26-34.png,Reactions.png,0.4,2026-04-15,
pt26-35,Panic Button,Reaction,,General,2,,,,"When you have no creatures on your field and a direct attack is declared, summon a creature with a cost of 2 AP or less from your hand to your field.",,pt26-35.png,Reactions.png,0.4,2026-04-15,
pt26-36,Spike Pit,Reaction,,General,2,,,,"When your opponent declares an attacker, destroy that creature before blockers are declared.",,pt26-36.png,Reactions.png,0.4,2026-04-15,
pt26-37,Upload,Reaction,,General,2,,,,"When a creature you control is destroyed by an opponent's creature in combat, draw 1 card.",,pt26-37.png,Reactions.png,0.4,2026-04-15,
pt26-38,Bounce,Reaction,,General,3,,,,"When a creature attacks, return it to its owner's hand.",,pt26-38.png,Reactions.png,0.4,2026-04-15,
pt26-39,Thunder Robber,Reaction,,General,3,,,,"When your opponent attacks and you declare a blocker, add the attacker's ATK to your blocker's DEF.",,pt26-39.png,Reactions.png,0.4,2026-04-15,
pt26-40,Royal Ceasefire,Reaction,,General,4,,,,"When your opponent declares an attack, end it and refund their AP cost. They cannot attack again this turn.",,pt26-40.png,Reactions.png,0.4,2026-04-15,
pt26-41,Thank You Card,Reaction,,General,4,,,,Play after your opponent's Refresh step. Track the AP they spend until their End Phase. Add that amount as Temp AP to your next turn. Temp AP is spent first and vanishes at your End Phase.,,pt26-41.png,Reactions.png,0.4,2026-04-15,
pt26-42,Drafted,Magic,,General,1,,,,Add any creature from your deck or Discard Pile to your hand. (Playtest) ,,pt26-42.png,Magic.png,0.5,2026-05-04,
pt26-43,AP Vanisher,Creature,,General,1,2,2,,"When this card is summoned, you can summon an additional creature with an AP cost of 4 or lower from your Hand or Discard Pile ignoring it's AP cost.(Playtest) ",,pt26-43.png,Creatures.png,0.5,2026-05-04,
